Sentence		Source
Տո՛ւր ինձ գավազանս:		Երկնքի զանգակը 1882
Նա խլեց քար կտրած պարտատերից յուր գավազանը և ուրախ-ուրախ իջավ ներքև:		Երկնքի զանգակը 1882
Բայց զանգակի վճիռն անարդար չէր.		Երկնքի զանգակը 1882
Եվ Նա տեսնելով մարդու այդ անիրավ խորամանկությունը, բարկացավ և զանգակը զարհուրելի ղողանջյունով քաշեց, տարավ երկինք:		Երկնքի զանգակը 1882
Ահա, այդ էր պատճառը, որ մարդիկ զրկվեցին անաչառ դատավոր երկնքի զանգակից:		Երկնքի զանգակը 1882
Արևը նոր էր մայր մտել.		Հոպոպ 1889
- Հո՜պոպ,- հանկարծ կանչեց երեխաներից մեկը:		Հոպոպ 1889
Քրտինքը ծորում էր նրա գդակի տակից ականջների հետևով և պուտ-պուտ կաթում խունացած ուսերին:		Հոպոպ 1889
- ծկլթաց երկրորդը, երրորդը, չորրորդը…		Հոպոպ 1889
Հոպոպը երկար չկարողացավ համբերել.		Հոպոպ 1889
առանց ետ նայելու և շարունակելով ճանապարհը, սկսեց սարսափելի հայհոյանքներ թափել հետևից աղաղակող երեխաների հասցեին:		Հոպոպ 1889
Նրանցից մի քանիսը սկսեցին նույնիսկ քարեր շպրտել Հոպոպի հետևից:		Հոպոպ 1889
Նա միայն շարունակում էր իր հատընտիր հայհոյանքները:		Հոպոպ 1889
Ըստ երևույթին, այդպես էլ կշարունակեր ճանապարհը մինչև տուն, եթե քարերից մեկը չդիպչեր նրա ոտին:		Հոպոպ 1889
Բայց մինչ այդ երեխաները ծկլթացին, շուռ եկան ու ցանուցիր եղան շեղակի նեղ փողոցներում:		Հոպոպ 1889
- Ա՛յ ես ձեր…		Հոպոպ 1889
Թե մի կկանգնեիք, թե մի կկանգնեիք…		Հոպոպ 1889
Քարով եք ուզում կռվի՞, դե կռվենք, է՜լի, ո՞ւր եք փախչում, ձեր…		Հոպոպ 1889
Փիե՜, անց կենալ չի ըլում, էլի.		Հոպոպ 1889
վրա են թափվում, կասես գեղի շներ ըլեն:		Հոպոպ 1889
Տո՛, ասա ես ձեզ բան եմ անո՞ւմ.		Հոպոպ 1889
թողեք, է՜լի, գնամ ինձ համար վեր ընկնեմ իմ տանը, ես ձեր…		Հոպոպ 1889
Հոպոպը նայեց նրան, գավն ու կապոցը վերցրեց գետնից և, շարունակելով ճանապարհը նրա հետևից, սկսեց գանգատվել:		Հոպոպ 1889
- Տո, ըսենց էլ բան կըլի՞.		Հոպոպ 1889
մի հետ չըլավ, որ էդ շան լակոտները թողան արխային գնամ իմ ճամփով:		Հոպոպ 1889
Հոպոպ, հա՛ Հոպոպ:		Հոպոպ 1889
Հոպոպը ձեր թայն ա՞:		Հոպոպ 1889
- Տո, ո՞վ ա անգաջ դնում, ես դրանց…		Հոպոպ 1889
Տեսնում են թե չէ, ոնց որ գեղի շները վրա տան:		Հոպոպ 1889
Քարեր էլ են գցում, քարեր:		Հոպոպ 1889
Բայց ծանոթն այլևս չէր լսում նրան, նա ծռվեց մյուս փողոցը և անցավ գնաց:		Հոպոպ 1889
Իսկ Հոպոպը, բարձրաձայն շարունակելով հայհոյանքներով համեմված իր բանակռիվը բացակա երեխաների հետ, մտավ իրենց փողոցը:		Հոպոպ 1889
Դռներին նստոտած կանանց խմբերի մոտով անցնելիս մի ջահել կին կանչեց նրա հետևից.		Հոպոպ 1889
Ու իսկույն ծիծաղելով դեմքը ծածկեց մոտը նստած ընկերուհու մեջքի հետևը:		Հոպոպ 1889
Մյուս կանայք ուրախ հռհռացին, բացի մի պառավ կնոջից, որը մեղմորեն հանդիմանեց բացականչողին:		Հոպոպ 1889
Այդ հայհոյանքն այնքան անհամեստ էր, որ պառավը նկատեց կանչողին.		Հոպոպ 1889
- Հը՛, էդ էիր ուզո՞ւմ…		Հոպոպ 1889
Եվ իսկապես, շատ հոտած, այսինքն կռվարար մարդ էր զինագործ Ասատուրը:		Հոպոպ 1889
Հոպոպին կատաղեցնելը մի կատարյալ զվարճություն էր նրանց համար:		Հոպոպ 1889
Եվ այդ մի հատիկ բառը բավական էր լինում, որ Հոպոպի քեֆը հարամ լիներ.		Հոպոպ 1889
նա իսկույն ընդհատում էր բայաթին, դուրս գալիս դուռը և ամբողջ թաղը հավաքում գլխին:		Հոպոպ 1889
Ոչ ոքի՝ հետ չէր հաշտվում Հոպոպը:		Հոպոպ 1889
Կնոջ հետ խո ամեն օր տուրուդմբոցի մեջ էր.		Հոպոպ 1889
ինքը կնոջն էր ծեծում, կինը նրան.		Հոպոպ 1889
Կերակուրների մեջ էլ խիստ խտրություն էր դնում.		Հոպոպ 1889
Գինու գավը, որ տեսանք նրա ձեռքին, բանեցնում էր տասնհինգ տարուց ավելի.		Հոպոպ 1889
առավոտները դատարկ հետը տանում էր խանութը, երեկոները լիքը տուն բերում:		Հոպոպ 1889
Այնքան էր սիրում, որ շաբաթ գիշերները, դատարկելուց հետո, մոմ էր վառում վրեն.		Հոպոպ 1889
Բարեբախտաբար, գավն արդեն դատարկված էր, թե չէ, ծեծից նրան էլ բաժին կհասներ:		Հոպոպ 1889
Կինը տանը չէր, որ Հոպոպը տուն հասավ:		Հոպոպ 1889
Դուրսը պատի տակ տղան տուն էր շինում տաշեղներից:		Հոպոպ 1889
Բացի կարճ, կեղտոտ շապկից, ուրիշ բան չկար նրա հագին:		Հոպոպ 1889
- Ո՞ւր ա մերդ,- հարցրեց հայրը:		Հոպոպ 1889
Տղան վեր կացավ, աչքերը տնկեց հոր ձեռքի աղլուխին և պատասխանեց.		Հոպոպ 1889
- Բագրատանց տուն գնաց:		Հոպոպ 1889
Հոպոպի աչքերը կրակ կտրվեցին:		Հոպոպ 1889
վայ ես նրա…		Հոպոպ 1889
- Գնա էս սըհաթիս կանչի:		Հոպոպ 1889
Լա՛վ, շա՛տ լավ,- սկսեց բարձրաձայն խոսել ինքնիրեն Հոպոպը,- Դե հըմի կգաս, կտեսնանք, էլի…		Հոպոպ 1889
ես քեզ Բագրատանց տուն շանց կտամ…		Հոպոպ 1889
Հոպոպ որ դառանք, նամուս էլ կորցրի՞նք…		Հոպոպ 1889
Ա՛յ, գետինը չմտնի՞ էս գդակը:		Հոպոպ 1889
Եվ նա գդակը պոկելով գլխից ուժգին թափով խփեց գետնին:		Հոպոպ 1889
Անհամբեր սպասում էր կնոջը.		Հոպոպ 1889
Մոր հետևից գնացած երեխան ներս ընկավ գնդակի նման:		Հոպոպ 1889
- Ասեց գալիս եմ,- ասաց նա և այս անգամ աչքերը տնկեց հոր բերանին:		Հոպոպ 1889
- Հը՜մ,- մռնչաց Հոպոպը, հացը ծամելով, և ձեռքը նորից տարավ դեպի գավը:		Հոպոպ 1889
- Բագրատանց տանը,- նույն համարձակությամբ պատասխանեց կինը:		Հոպոպ 1889
- Ի՞նչ իր շինում ընտեղ:		Հոպոպ 1889
- Ի՞նչ պտի շինեի:		Հոպոպ 1889
Լվացք ունեն անելու, կանչել ին, որ էգուց գնամ լվանամ:		Հոպոպ 1889
Տո՛, ես քու…		Հոպոպ 1889
անտեր-մունդռի՞կ ես մնացել, քաղցած-տկլո՞ր ես մնացել, որ ուրիշների հմար լվացք ես անում:		Հոպոպ 1889
Բա ես չկա՞մ, բա իմ գլուխը շներն ու գելերն են կերե՞լ:		Հոպոպ 1889
Տո՛, իմ կնիկն ընչի՞ պտի ուրիշի լվացքն անի, հը՞:		Հոպոպ 1889
Տո՛, Բագրատն ո՞ւմ շունն ա, որ իմ կնիկը գնա նրա հմար լվացք անի, հը՞:		Հոպոպ 1889
Տո՛, Բագրատի պես հարուրին կառնեմ-կծախեմ, ու իմ կնիկը պտի գնա նրա հմար լվացք անի՞:		Հոպոպ 1889
Ի՞նչ անենք, թե գդակին կակարդ ունի ցցած, ես նրա…		Հոպոպ 1889
Տո՛, ի՞նչ լվացք, ի՞նչ դես, ի՞նչ դեն, ո՞ւմ ես ուզում խաբի, հազիր ասես…		Հոպոպ 1889
Դեսն արի հլա, դեսը…		Հոպոպ 1889
Հը՞, սուտ ա՞…		Հոպոպ 1889
էլի կասե՞ս սուտ ա…		Հոպոպ 1889
Կինը ձեռքը խլեց նրա ձեռքի միջից և չանչեց նրան:		Հոպոպ 1889
- Ի՜, հողեմ գիժ գլուխդ,- ասաց նա արհամարհանքով և դարձավ, որ դուրս գնա:		Հոպոպ 1889
Բայց մարդը չանչեց նրա թևից և թույլ չտվավ, որ տեղից շարժվի:		Հոպոպ 1889
- Կա՛ց,- գոռաց նա,- ու՞ր ես գնում, որ գնում ես, հենց գիտաս ձեռիցս կպրծնե՞ս:		Հոպոպ 1889
Գիժը հըմի կտեսնաս, թե ոնց գիժ եմ:		Հոպոպ 1889
Ընչկլի հոգիդ չհանեմ, կթողա՞մ:		Հոպոպ 1889
Բա ես մեռե՞լ եմ, որ էն շուն շան որդու հետ ես շնութին անո՞ւմ:		Հոպոպ 1889
Հը՞, մեռել ե՞մ…		Հոպոպ 1889
- Տո՛, գիժ Հոպոպ, ի՞նչ ես ուզում ինձնից,- կանչում էր կինը լաց լինելով:		Հոպոպ 1889
Փայտ չգտնելով, նրա աչքովն ընկան իր ոտնամանները:		Հոպոպ 1889
Ու վեր թռցրեց այդ ոտնամաններից մեկը, որի կրնկին հաստ նալ էր խփած գոգավոր մեխերով:		Հոպոպ 1889
Մինչ այդ՝ կինը ծծի մանուկը դրեց թախտի վրա, շտկեց իրեն և վեր թռցրեց գինու գավը:		Հոպոպ 1889
-Վա՛յ ես քու…		Հոպոպ 1889
- բղավեց Հոպոպը և, ոտնամանը ձգելով ձեռքից, վրա վազեց, որ գավը խլի:		Հոպոպ 1889
Մարդն ընկավ նրա հետևից:		Հոպոպ 1889
Գավը բխկաց և ալ վարդի պես բացվեց:		Հոպոպ 1889
կարմիր գինին ներկեց գետինը լերդացած արյան սև գույնով և իսկույն ծծվեց արևակեզ գետնի մեջ:		Հոպոպ 1889
Հոպոպը ցնցվեց և կանգ առավ հանկարծ:		Հոպոպ 1889
Նրան թվաց, թե իրեն տվին գետնովը:		Հոպոպ 1889
Քարը շեշտակի գնաց դիպավ կնոջ մեջքին:		Հոպոպ 1889
Կինը սաստիկ ճչաց, իներցիայով առաջ վազեց մի քանի քայլ էլ և փռվեց գետնին երեսի վրա:		Հոպոպ 1889
Հռհռացող փողոցը հանկարծ լռեց և քարացավ:		Հոպոպ 1889
Արևն արդեն մայր էր մտել:		Նունե 1887
Նրան տասնևյոթ տարեկանից ավելի չէր կարելի համարել, եթե նրա հասակն այդ տարիքին անհամեմատ բարձր չլիներ:		Նունե 1887
Ձեռքերը կցած և գլուխը կոր՝ նա ծանր քայլերով ման էր գալիս պատշգամբում:		Նունե 1887
Արտասուքը խեղդում էր նրան, բայց նա զսպում էր իրեն:		Նունե 1887
Նա թաշկինակը ամուր սեղմեց աչքերին, և երկար ժամանակ դեռ լսվում էր նրա զսպված, խուլ հեկեկանքը:		Նունե 1887
նա մոռացել էր անգամ, որ փողոցում յուր վերա ուշադրություն դարձնողներ կարող էին լինել:		Նունե 1887
Այդ միջոցին հանկարծ բացվեցավ պատշգամբի դուռը, և շեմքի վերա մի հաստափոր մարդ երևաց:		Նունե 1887
Դա մոտ հիսուն տարեկան, միջին հասակով, կարճ բեղերով ու մազերով մի մարդ էր:		Նունե 1887
Մի ինչ-որ խստություն և անգթություն նշմարվում էր նրա սուր հայացքի մեջ:		Նունե 1887
Նրա ուռած աչքերից երևում էր, որ խաղաղ և կուշտ քնից նոր էր արթնացել:		Նունե 1887
Սա օրիորդի հայրը՝ աղա Յագոր Բուղդանիչն էր:		Նունե 1887
- Դու էստի ի՞ս, Նինո,- ասաց նա դանդաղությամբ հորանջելով:		Նունե 1887
- Հիմի էնդի մուզիկ կուլի ածում…		Նունե 1887
մե քիչ բոլթա կուտայիք ու յիդ կուգայիք:		Նունե 1887
դո՜ւն գիդիս, վուրթի,- երկարացրեց հաստափորը:		Նունե 1887
- Հայրի՜կ, դուք գիտեք, որ ես հիվանդ եմ…		Նունե 1887
գլուխս ցավում է…		Նունե 1887
և, բացի այդ, ես զբոսնել առհասարակ շատ չեմ սիրում,- արդարացնում էր իրեն օրիորդը:		Նունե 1887
Էտ նրամեն է, վուր դու ջեր մտետ չիս գցի էն…		Նունե 1887
Շատ կարթալը, վուրթի, լավ չէ…		Նունե 1887
աճկերուտ էլ վնաս է:		Նունե 1887
- Ի՛փրիմե,- հանկարծ երգն ընդհատելով՝ կանչեց աղա Յագոր Բուղդանիչը:		Նունե 1887
Իմերել ծառան իսկույն հայտնվեցավ պատշգամբի վերա:		Նունե 1887
Վերոհիշյալ անցքից անցել էր երեք օր:		Նունե 1887
հեղեղանման անձրևը թափվում էր վերևից, երբեմն֊երբեմն որոտի սարսափելի թնդյունները խլացնում էին անձրևի շփշփոցը:		Նունե 1887
Պատերը սաստիկ խոնավ էին, որից և սենյակում մի տեսակ ծանր օդ էր փռված:		Նունե 1887
Երկար ժամանակ և բոլորովին անշարժ՝ նա նստած էր նույն դրության մեջ:		Նունե 1887
Մինչդեռ նա գտնվում էր այդ դրության մեջ, ոք-մին կամաց բախեց դուռը.		Նունե 1887
բայց նա այդ չլսեց:		Նունե 1887
Անցավ մի րոպե, դռան հարվածը կրկնվեցավ.		Նունե 1887
նա դարձյալ չլսեց:		Նունե 1887
Չորրորդ անգամ դուռը ծեծեցին և այս անգամ բավական պինդ.		Նունե 1887
նա դարձյալ գլուխը բարձրացրեց և այս անգամ տեսավ, որ սխալվել է՝ թխկթխկոցը մկներին վերագրելով:		Նունե 1887
- Ո՞վ է,- կանչեց նա մի փոքր խռպոտ ձայնով:		Նունե 1887
Դրսից ոչ ոք չպատասխանեց, բայց դարձյալ ծեծեցին դուռը:		Նունե 1887
Նա վեր կացավ և ուզում էր գնալ դուռը բանալու, բայց հանկարծ կանգ առավ.		Նունե 1887
- Գրիգո՜ր, ես եմ…		Նունե 1887
- բացականչեց իսկույն իրեն գրեթե մոռացած երիտասարդը և սեղմեց նրան յուր սաստիկ բաբախող սրտին.		Նունե 1887
Նունե՜, մի՞թե այս դու ես…		Նունե 1887
մի՞թե այս իրականություն է…		Նունե 1887
Գրիգոր Սեյրանյանը գյուղի հարուստ բնակիչներից մեկի որդին էր:		Նունե 1887
Նա շատ աշխատասեր էր և ամեն տարի փոխում էր դասատունը:		Նունե 1887
Սեյրանյանը մտածեց, որ այդ ամսականով կարելի էր մի գեղեցիկ առանձին սենյակ վարձել և հանգիստ ապրել:		Նունե 1887
Ծնողները չափից դուրս սիրում էին իրենց միակ զավակին, ուստի և սիրով համաձայնեցան նրա հետ:		Նունե 1887
Ծնողներից նա միանգամից հարյուր ռուբլի փող ստացավ, յուր համար շորեր և սենյակի կայք գնելու համար:		Նունե 1887
Նրան բոլորովին ծանոթ չէին Թիֆլիսի սովորող երիտասարդների մեծ մասի զվարճություններն ու ցոփակեցությունը:		Նունե 1887
Նա խորշում էր այդպիսիներից:		Նունե 1887
Բայց Սեյրանյանը ուշադրություն չէր դարձնում նրանց վերա:		Նունե 1887
Թեյը խմելուց հետո նա առավոտյան ժամը յոթ անց կեսին գնում էր գիմնազիոն:		Նունե 1887
Այստեղ նկատենք փակագծերում, որ տունը, որտեղ բնակվում էր Սեյրանյանը, պատկանում էր աղա Յագոր Բուղդանիչին:		Նունե 1887
Եվ նա չէր հասկանում, թե ինչ էր նշանակում այդ:		Նունե 1887
Դասերը վերջացնելուց հետո նա շտապեց դեպի տուն:		Նունե 1887
Նա չէր կարողանում ինքն իրեն հաշիվ տալ, թե ինչի՞ ինքն այնպես շտապում է:		Նունե 1887
Հասնելով իրենց փողոցը, նա տեսավ, որ փողոցի մյուս ծայրից գալիս էր Նունեն:		Նունե 1887
Նրանք, գալով հանդիպակաց կողմերից, հենց բակի դռների մոտ հանդիպեցան:		Նունե 1887
Նունեի և Սեյրանյանի հայացքները դարձյալ հանդիպեցան միմյանց…		Նունե 1887
Օրիորդը կանգնեց, որպեսզի ճանապարհ տա Սեյրանյանին դռնից ներս մտնելու:		Նունե 1887
Սեյրանյանն էլ նույնն արավ:		Նունե 1887
Սեյրանյանը մեքենայաբար հետևեց նրան և տեսավ, թե ինչպես, գրեթե վազելով, օրիորդը բարձրանում էր սանդուղքներով վեր:		Նունե 1887
Նա բացեց յուր սենյակի դուռը և մտավ ներս:		Նունե 1887
Նրա սիրտը սաստիկ բաբախում էր:		Նունե 1887
Այդ հանդիպումը մեծ ազդեցություն էր արել նրա վերա:		Նունե 1887
Օրիորդի ամոթխած, սիրուն պատկերը մի րոպե անգամ չէր հեռանում նրա աչքի առաջից:		Նունե 1887
Նա ծիծաղեց այս խոսքերի վերա և նստեց պարապելու:		Նունե 1887
Սակայն տողերի տեղ գրքի երեսների վերա նա օրիորդի, միշտ օրիորդի պատկերն էր տեսնում:		Նունե 1887
Նա հանեց ժամացույցը և նայեց.		Նունե 1887
Նա չկարողացավ զբոսնել, ներսից մի բան դեպի տուն էր մղում նրան:		Նունե 1887
Շատ վատ անցկացրեց նա գիշերը:		Նունե 1887
Առավոտյան վաղ վեր կենալով, նա տեսավ, որ առանց հանվելու է քնել:		Նունե 1887
Նա դարձյալ ծիծաղեց յուր այդ արտասովոր վարմունքի վերա:		Նունե 1887
Սառը ջուրը կազդուրեց նրա գրգռված ջղերն, և նա նստեց դասերը սովորելու:		Նունե 1887
Յուր ժամանակին բերին թեյ.		Նունե 1887
նա խմեց հացով և, վերցնելով գրքերը, դուրս գնաց:		Նունե 1887
Բայց այս անգամ օրիորդ չկար:		Նունե 1887
Այդ օրվանից կարծես մի ծանր քար դրին նրա սրտի վերա:		Նունե 1887
Նա շատ քիչ էր ուտում.		Նունե 1887
նրա ախորժակը բոլորովին կապվել էր:		Նունե 1887
- Հիվանդ եմ, պ.		Նունե 1887
ուսուցիչ,- պատասխանեց Սեյրանյանը՝ իրեն արդարացնելու ուրիշ միջոց չգտնելով:		Նունե 1887
- Եթե հիվանդ եք, մի՛ գաք դասերին, մինչև որ առողջանաք:		Նունե 1887
Դիմեցեք բժշկին, այդպես չի կարելի թողնել:		Նունե 1887
Սեյրանյանն այդպես էլ արավ:		Նունե 1887
Սակայն բախտը նրան առաջին անգամ ժպտաց, ժպտաց, որպեսզի վերջը նրան ամենասոսկալի թշվառության հասցնե:		Նունե 1887
Նույն շաբաթ օրը լրանում էր առաջին ամիսը, ինչ նա բնակվում էր աղա Յագոր Բուղդանիչի տանը:		Նունե 1887
Սեյրանյանը պատրաստվեցավ նույն օրն երեկոյան սենյակի վարձը վճարելու՝ եկող ամսվա համար:		Նունե 1887
Աղա Յագոր Բուղդանիչն, ինչպես այժմ առհասարակ սովորություն է դարձած, տան վարձը ամսի գլխից էր առնում:		Նունե 1887
- մտածում էր նա:		Նունե 1887
Նա շտապով հագնվեց, սանրվեց և պատրաստվեցավ գնալու:		Նունե 1887
Սանդուղքներով բարձրանալիս նա զգաց, որ սիրտը սաստիկ բաբախում է, և ծնկները դողում են:		Նունե 1887
Նա այնքան նման էր յուր աղջկան, որ կարծես մի խնձոր լինեին կես արած:		Նունե 1887
Նա նույնպես մի ինչ֊որ գիրք էր կարդում:		Նունե 1887
Սեյրանյանը մտնելուն պես՝ մայր ու աղջիկ դարձան դեպի դուռը:		Նունե 1887
Սեյրանյանը սաստիկ շփոթված՝ գլխարկը ձեռքին կանգնած մնացել էր դռների մոտ.		Նունե 1887
նա զգաց, որ վատ է և գրեթե վախենալով խոսեց ցածր ձայնով.		Նունե 1887
- Ա՜խ, ամենևին ոչ.		Նունե 1887
Սեյրանյան,- շտապեց պատասխանել նրան տանտիկինը սիրալիր ժպիտով և մի տեսակ գրավիչ ձայնով:		Նունե 1887
- Ի՞նչ էիք կամենում…		Նունե 1887
ես տան վարձը բերել եմ, տիկին,- ասաց Սեյրանյանը դարձյալ շփոթված:		Նունե 1887
Այդ րոպեին նա չափից դուրս գեղեցիկ էր:		Նունե 1887
նունեն նայեցավ նրան և ամոթից կարմրելով, գլուխը կախեց գրքի վերա:		Նունե 1887
- Բայց ինչի՞ չեք նստում, պ.		Նունե 1887
- և տանտիկինը ցույց տվեց իրենից մի փոքր֊ինչ հեռու մի բազկաթոռ:		Նունե 1887
Նա չէր համարձակվում նայելու օր.		Նունե 1887
Նունեին, թեպետև նրա ուշքն ու միտքն ամբողջապես նրա կողմն էին:		Նունե 1887
- Հա՛, դուք դեռ ծանոթ չե՞ք կարծեմ իմ աղջկանս հետ,- հանկարծ հարցրեց տանտիկինը:		Նունե 1887
- Ուրեմն խնդրեմ ծանոթանաք:		Նունե 1887
Սեյրանյանը մեքենայաբար վեր կացավ, օր.		Նունե 1887
Այնուհետև նրանք դարձյալ բռնեցին իրենց առաջվա տեղերը:		Նունե 1887
Այդ ժամանակ մտավ ծառան և տանտիկնոջը մի ինչ-որ բանի համար դուրս կանչեց:		Նունե 1887
Սեյրանյան,- ասաց տանտիկինը տեղից վեր կենալով,- ես իսկույն կգամ…		Նունե 1887
մի քանի րոպե միայն…		Նունե 1887
խոսեցեք առժամանակ միասին…		Նունե 1887
Նունե՜, զբաղվեցեք խոսակցությամբ, ես գալիս եմ այս րոպեիս:		Նունե 1887
Եվ տանտիկինը, գիրքը սեղանի վերա դնելով, դուրս գնաց սենյակից:		Նունե 1887
մինչև անգամ կյանքը զոհելու:		Նունե 1887
Նա ոչ ամաչում էր և ոչ վախենում, այլ մի տեսակ խառն, անորոշ դրության մեջ էր.		Նունե 1887
կարծես ուզում էր դուրս պրծնել այնտեղից և ընկնել օրիորդի ոտների տակ:		Նունե 1887
Լռությունը սենյակում տիրել էր:		Նունե 1887
նա վեր կացավ ակամայից և անզգայաբար գնաց դեպի նա.		Նունե 1887
կարծես մի ինչ֊որ անհայտ զորություն քաշում էր նրան դեպի այդ չքնաղ օրիորդը:		Նունե 1887
Նա հանկարծ կանգ առավ նրանից երկու քայլ հեռու, նա աննկատելի կերպով դողում էր:		Նունե 1887
կարդում, օրիորդ,- հարցրեց նա գրեթե շշնջալով:		Նունե 1887
Օրիորդը շփոթվեց և կարծես մոռացավ գրքի անունը, նա շտապով բացեց գրքի երեսը և նայեցավ:		Նունե 1887
Սակայն նա շտապով ժողովեց իրեն և նայեցավ Սեյրանյանի դեմքին:		Նունե 1887
Սեյրանյանը արդեն նույնպես նայում էր նրան:		Նունե 1887
Դուք կարդացե՞լ եք:		Նունե 1887
- Եվ ինչպե՞ս է թվացել ձեզ:		Նունե 1887
լաց եմ եղել:		Նունե 1887
- Ես էլ եմ լաց եղել,- ասաց նա:		Նունե 1887
- Եվ անկարելի է լաց չլինել…		Նունե 1887
ո՞վ կարող է այս կարդալ և լաց չլինել…		Նունե 1887
նրա սիրտը քար պիտի լինի:		Նունե 1887
- Եվ ո՞վ ձեզ այստեղ ավելի է զգացնել տալիս…		Նունե 1887
- Մարիուսն ու Կոզետտը,- հանկարծ ակամայից դուրս թռավ Սեյրանյանի բերանից.		Նունե 1887
նա սաստիկ կարմրեց:		Նունե 1887
Նունեն նույնպես կարմրեց և աչքերը վայր թողեց գրքի վերա:		Նունե 1887
Նույն րոպեին ներս մտավ տանտիկինը:		Նունե 1887
Սեյրանյանը, սենյակի վարձը հանձնելով նրան, կամենում էր դուրս գնալ:		Նունե 1887
Բայց նա խնդրեց նրան թեյին մնալու.		Նունե 1887
Սեյրանյանը սկիզբը հրաժարվեց, բայց հետո մնաց:		Նունե 1887
Նա այլևս ոչ շփոթվում էր և ոչ ամաչում.		Նունե 1887
նա հետզհետե ավելի համարձակություն էր ստանում:		Նունե 1887
Եկավ և աղա Յագոր Բուղդանիչը:		Նունե 1887
Նա շատ սիրով ընդունեց Սեյրանյանին:		Նունե 1887
Նունեն հանձն առավ նրան սովորեցնելու:		Նունե 1887
Սեյրանյանն ամենաքաղցր տպավորության տակ ուշ գիշերը վերադարձավ տուն:		Նունե 1887
Նա պառկեց անկողնում, և նրա քունը դեռ երկար ժամանակ չէր տանում:		Նունե 1887
Եվ այսպես աղա Յագոր Բուղդանիչի տան դռները բացվեցան նրա առաջ:		Նունե 1887
Երբեմն նրանք պարապում էին միասին:		Նունե 1887
Նրանք այժմ երբեք չէին շփոթվում միմյանց առաջ.		Նունե 1887
Բայց շատ երկար չտևեց այդ անել դրությունը:		Նունե 1887
Մի անգամ, կիրակի առավոտյան թեյից հետո, Նունեն ըստ սովորականին մտավ Սեյրանյանի սենյակը:		Նունե 1887
Նա նույն օրվա լրագիրը բերել էր միասին կարդալու համար, ինչպես նա այդ անում էր միշտ:		Նունե 1887
Այդ օրը նա շատ ուրախ տրամադրության մեջ էր.		Նունե 1887
նրա գեղեցիկ դեմքի վրա նկատվում էր մի ինչ-որ երջանիկ ժպիտ:		Նունե 1887
Սեյրանյանը նստած էր սեղանի առաջ քամակը դեպի դուռը և զբաղված էր մի ինչ֊որ գրությամբ:		Նունե 1887
Նա այն աստիճան անձնատուր էր եղել դրությանը, որ օր.		Նունե 1887
