Sentence	Source
నేను ఎరిగిన చోటు కాదిది	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆమె ఆ రూపంలో ఆ రోడ్డును ఎరగదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈ వేళప్పటికి ఆ ప్రాంతమంతా నిర్జనంగా వుండేది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఓ దుకాణం, ఓ దీపం వుండేది కాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జనం గుంపులు గుంపులుగా వున్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మనం దిగవలసింది ఇక్కడేనా? పొరపాటున బస్సువాడు మరో చోట దింపలేదుగద	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వారూ అతని రాక కోసం ఎదురు చూస్తూన్నట్లు తమ సంభాషణ ఆపేరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అన్నాడు రవీంద్ర వారి దగ్గరగా అడుగు వేసి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆపాటి ప్రశ్న నన్నడిగితే చెప్పనా అన్నట్లు కూలి కుర్రాడు ఎదురు ప్రశ్న వేశాడు,	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ వాడు బెడ్డింగు భుజానికెత్తుకున్నాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
రవీంద్ర పలకరించిన ఆయన జానకి సమాధానం విని ఒక అడుగు ఇవతలికి వేశాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ కూలి కుర్రాడికి ఎక్కడికి వెళ్లాలో చెప్పేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సోమన్నా! తెలుసట్రా, ప్రెసిడెంటుగారు గుడివీధిలో క్రొత్తగా కట్టిన మేడ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సత్యానందంగోరి ఇల్లు నేను ఎరక్కపోడమేటండి	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ జానకికి రిక్షాలో వెళ్ళడం అనవసర శ్రమ అని చెప్పేడు సోమన్న.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
రాజవీధిలోకి మళ్ళి పది అడుగులు వేస్తే గుడి వీదండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
రిక్షా ఎక్కి దిగినంత సేపు పట్టదండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ గ్రామస్థుణ్ణి జానకి గుర్తుపట్టింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తనను బస్సువాడు దింపింది, అగ్రహారంలోనే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆయన మాత్రం జానకిని గుర్తు పట్టలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పది పైసలు ఇస్తారు తీసుకెళ్ళు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మా బాబుల్నాడు ఈ బస్సులు వున్నయ్యేటండి	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇప్పుడున్నాయి గనకనే ఈ పదిపైసలూ వస్తున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని ఆయన మిత్రబృందం వేపు అడుగు వేసేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎవరో భద్రమ్మగారి బంధువులై వుంటారు	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటున్నాడు, తమకు ధైర్యం చెప్పిన ఆయన.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎక్కడో చూసిన మొహంలా వుంది	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంది జానకి తన అభిప్రాయాన్ని పరీక్షించుకొంటున్నట్లు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సోమన్న ఇంకా కోపంలోంచి తేరుకోలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎరువులూ బ్లాకులో అమ్మి పది పన్నెండెకరాలు కొన్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇప్పుడు ఆపాటి ముక్క పావుకిలో అని అర్ధరూపాయి వూడగొడుతున్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బియ్యం కిలో రూపాయి పావలా ఎవరి బాబులు ఎరుగుదురో.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కూలాడి దగ్గరికొచ్చేతలికి పావలా కూలి బాబుల్నాడు నేదని గేపకం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని జానకి వానికి తృప్తి కలిగించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నడుస్తున్న వీధి నిర్మానుష్యంగా వుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తలుపులు తెరిచే వున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సావిళ్ళలోంచి రేడియోలో తెలుగు వార్తలు వెంటాడుతున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాని, ఎక్కడా మనుష్య సంచారం వున్నట్టు లేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎక్కడా మనిషి పొడ కనబడదేమిటమ్మా!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ రవీంద్ర తల్లిని ఆశ్చర్యంగా ప్రశ్నించేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంతలో పల్లెటూరి అలవాట్లు గుర్తొచ్చాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భోజనాల వేళ, అంతా యిళ్ళలో వుండి వుంటారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బొంబాయిలాంటి పట్టణాల్లో అలవాట్లు వేరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నెల్లాళ్ళు వుండాలని వచ్చిన వుత్సాహం బస్సు దగేసరికే హరించుకుపోయినట్లనిపించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంకా వూళ్ళో అడుగేనా పెట్టకుండానే వెళ్ళిపోదామనేలా వున్నావే.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తల్లి నవ్వుతూంటే, రవీంద్రా నవ్వేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వారి సంభాషణ వింటున్న సోమన్న	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తమరు బొంబాయి నుంచి వొత్తున్నారాండీ	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పరిసరాలూ, ఇళ్ళూ గుర్తు చేసుకొంటున్న జానకి ఏమీ సమాధానం ఇవ్వలేదు ఆ మాటకి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అని సోమన్న ఆమె వాక్యం పూర్తి చేశాడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి సుందరరావును డాక్టరుగా ఎరుగును.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సోమన్న మాట వింటే మరొకరెవరో డాక్టరన్నట్లుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీరు బస్సు దిగినకాడికి కూంత అసింటా వుందండి ఆసుపిటలు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మంచి బాబు! కూలోడు, బీదోడు అంటే ఉట్టినే మందిస్తారండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంజీషన్లూ అవీ మన్ని తెచ్చుకోమంటారండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంతలో ఆమెకే అనుమానం కలిగింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ వుళ్ళో తాను బ్రతికినదీ ఒక బ్రతుకేనా అనిపించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ కనపడేదేనండి సత్యానందం గారిల్లు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ చీకట్లో సోమన్న చూపిన ఇల్లేదో అతడికి తెలియలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అదే ఆ లైటు స్తంబం అగతలండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంటి గేటు ముందు జానకి చటుక్కున నిలబడింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తాను ఎరిగిన ఇల్లు కాదది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అప్పుడు ఇల్లు వీధి మీదికే వుండేది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పెద్ద ఎత్తు అరుగులూ అదీ.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇప్పుడు ఆ వెనకటి చిన్నెలే లేవు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
దానిని పూర్తిగా తీసేసి కొంత ముందు జాగా వదిలి లోపలగా కట్టేరు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంటికీ ప్రహరీకీ మధ్య నల్లని పోగులు కనబడుతున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మేడ మీదా, దిగువ గదుల్లోనూ ట్యూబ్‌లైట్లు వెలుగుతున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఊరూ ఇల్లూ మాత్రమేనా మనుష్యులు కూడా మారిపోయారా?	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ నెమ్మదిగా గేటు తెరిచింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
గేటు తీసిన చప్పుడు హాలులోకి వినబడి వుంటుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంత గట్టిగా ఎందుకే రాధీ, రేడియో? తగ్గించు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వీధిలైటు వేయి మీనా, ఎవరో వస్తున్నట్లున్నారు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంది జానకి నెమ్మదిగా కొడుకుతో.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ ఆహ్వానమే ఆమె తనను గుర్తుపట్టలేదని చెప్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆమె మెట్లు కూడా దిగి తమ ముందుకే వచ్చింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి మనస్సులో కొంటెతనం పొటమరించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇల్లా ఇసకపూడి వెడుతూ బస్సు దిగేం.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి తమ రాకకో కథ కల్పించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆ కథను భద్ర నిజమనే నమ్మింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆమె కంఠస్వరమన్నా గుర్తు తెలియలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
చాల ఆప్యాయంగా ఇంట్లోకి ఆహ్వానించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వూరు గాని అడవి కాదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ ఆమె వెనకనే వున్న రవీంద్రను సాదరంగా పలకరించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అతడు నమస్కరిస్తూంటే నవ్వుతూ ఆశీర్వదించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీ అబ్బాయా? బాగుంది రాండి	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ వారితో పాటు తానూ మెట్లపైకి వచ్చింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బెడ్డింగు లోపలికి తీసుకెళ్ళమని సోమన్నను ఆదేశించింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీనా, బెడ్డింగు బల్ల మీద పెట్టించు తల్లీ!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
బెడ్డింగు బల్ల మీద, చెప్పినచోట పెట్టేసి కూలి కుర్రాడు వచ్చి చెయ్యి చాపేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి వాని చేతిలో పావలా పడేసింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వాడు తన సంతృప్తిని నమస్కార రూపంలో వెల్లడించేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సత్యానందంగోరి ఇల్లు ఎరుగుదురా అంటున్నారండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఎంకట నరసయ్యగోరు నేను సరిగ్గా తీసుకెల్లలేననేమో రిక్షా చేసుకు ఎల్లమన్నారండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ వాడు వెడనవ్వు నవ్వేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అంటూ భద్ర వానిని పంపేసి, మళ్ళీ అతిధులు యోగక్షేమాలు అందుకొంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కాళ్ళు కడుక్కుందురు గాని రాండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అమ్మా అనూ! ఒక చెంబుతో నీళ్ళూ, తుండూ తెచ్చి ఇయ్యి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
కొంచెం సేపు విశ్రాంతి తీసుకొనేసరికి వేణ్ణీళ్ళు కాగుతాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇప్పుడు వంటా వార్పూ అని కూర్చోకండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మా వద్ద రొట్టే, బిస్కట్లూ వున్నాయి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈ రాత్రికి ఆశ్రయం దొరికింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అది వూరే గాని అడవి గాదని భద్ర మరోమారు జ్ఞాపకం చేసింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఇంకా నయం మాకేమీ శ్రమ లేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆమె ముందు దారితీసి స్నానాలగది చూసింది-	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తెలియకుండానే ఎంతో ఆప్యాయత కనబరుస్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తన మాట కూడా చొరనివ్వకుండా సౌకర్యాలు అమరుస్తూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఆమెకు తానెవరో చెప్పకపోవడం ఒక విధంగా ఆటగా వున్నా కష్టంగానే వుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అయితే సత్యానందాన్ని కూడా కొంతసేపు ఆటపట్టించే వరకూ బయటపడదలచలేదు, జానకి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి సావట్లోకి వచ్చేసరికి రవీంద్ర పిల్లలతో స్నేహం చేసేసేడు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీనా చేతిలో అతడిచ్చిన బిస్కట్ల డబ్బా చూసి మంచిపని చేసేవన్నట్లు తల ఎగరేసింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మీనా చాలా మంచి అమ్మాయమ్మా!	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అతని కవ్వింపు అర్థం చేసుకొంది, జానకి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
ఈమారు బెట్టుసరి చెయ్యకుండానే అతడిచ్చిన రెండో డబ్బా పుచ్చుకుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
అప్పుడే కాఫీ కప్పుతో హాలులోకి వచ్చిన భద్ర పిల్లల చేతుల్లో బహుమానాలు చూసి-	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
జానకి చటుక్కున చనువుగా అంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
భద్ర ఒక్కేక్షణం తెల్లబోయి పక్కున నవ్వింది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వారిద్దరూ చెరో కప్పు తీసుకు కూర్చున్నాక	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
నీ పేరేమిటయ్యా! అడగేలేదు	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
పాడు రోడ్లు, ఒళ్ళు హూనం అయిపోతూంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
మా పొట్టల వైశాల్యం, ఆకలి పరిమితీ గురించి మీకేదో గట్టి అభిప్రాయమే వున్నట్టుంది-	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
సరే కూర్చుని పిల్లలతో కబుర్లు చెప్తూండండి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
వెడితే తాను ఎంతోసేపు రహస్యం కాపాడుకోలేదు.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
రవీంద్రకు ఇదంతా ఇరకాటంగానే వుంది.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
తల్లి ఎంతో ఉత్సాహపడి వచ్చింది ఆ యింటికి.	Ee Daari Ekkadiki, Mahidhara Ramamohan Rao, https://www.gutenberg.org/cache/epub/50178/pg50178-images.html
